"","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2005"," 2005"," 2005"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"France","0.5","0.3","0.6","0.5","0.4","0.6","0.5","0.4","0.6","0.5","0.4","0.6","0.6","0.5","0.7"
"Gabon","0.9","1.1","0.8","1.0","1.1","0.8","1.0","1.2","0.9","1.1","1.3","0.9","1.3","1.5","1.0"
"Gambia","1.9","2.3","1.5","2.0","2.4","1.5","2.2","2.7","1.7","2.6","3.2","1.9","3.0","3.9","2.2"
"Georgia","0.8","1.2","0.5","0.8","1.2","0.5","0.8","1.2","0.4","0.7","1.0","0.5","0.9","1.1","0.6"
"Germany","0.2","0.1","0.2","0.1","0.1","0.2","0.1","0.2","0.1","0.1","0.2","0.1","0.2","0.2","0.2"
"Ghana","1.7","2.0","1.3","1.7","2.0","1.3","1.5","1.8","1.2","1.5","1.8","1.2","1.5","1.9","1.2"
"Greece","0.2","0.3","0.1","0.2","0.3","0.1","0.3","0.4","0.2","0.3","0.4","0.2","0.4","0.5","0.2"
"Grenada","0.4","0.4","0.3","0.3","0.4","0.3","0.4","0.5","0.3","0.6","0.7","0.4","0.8","1.0","0.6"
"Guatemala","1.1","1.4","0.8","1.2","1.5","0.8","1.5","2.0","0.9","1.7","2.3","1.1","1.7","2.2","1.3"
"Guinea","3.0","3.8","2.1","3.1","3.9","2.2","3.4","4.4","2.3","3.5","4.5","2.4","3.4","4.3","2.4"
"Guinea-Bissau","2.2","2.9","1.5","2.2","2.9","1.5","2.6","3.5","1.7","3.0","4.1","1.9","3.1","4.2","2.1"
"Guyana","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.6","0.9","1.0","0.8"
"Haiti","2.6","3.0","2.2","2.7","3.1","2.3","2.9","3.4","2.4","2.9","3.5","2.3","3.6","4.3","2.8"
"Honduras","0.4","0.6","0.2","0.4","0.6","0.2","0.4","0.6","0.2","0.5","0.7","0.2","0.6","0.8","0.3"
"Hungary","0.3","0.4","0.1","0.3","0.4","0.2","0.3","0.5","0.2","0.3","0.5","0.2","0.4","0.6","0.2"
"Iceland","0.2","0.3","0.1","0.2","0.3","0.1","0.2","0.3","0.2","0.2","0.3","0.2","0.3","0.4","0.2"
"India","2.4","2.8","1.9","2.4","2.9","1.9","3.0","3.6","2.3","4.1","5.0","3.1","5.2","6.4","3.8"
"Indonesia","0.4","0.6","0.2","0.4","0.6","0.2","0.5","0.7","0.2","0.5","0.8","0.2","0.6","0.9","0.3"
"Iran (Islamic Republic of)","1.2","1.6","0.8","1.2","1.6","0.8","2.1","3.0","1.2","3.5","5.1","1.9","4.2","5.7","2.7"
"Iraq","0.5","0.6","0.4","0.5","0.6","0.4","0.5","0.6","0.4","0.5","0.6","0.4","0.8","1.0","0.5"
"Ireland","0.2","0.3","0.1","0.2","0.3","0.1","0.2","0.3","0.1","0.3","0.5","0.2","0.5","0.7","0.3"
"Israel","0.1","0.2","0.1","0.2","0.2","0.1","0.2","0.2","0.1","0.2","0.3","0.1","0.2","0.3","0.2"
"Italy","0.3","0.2","0.3","0.3","0.2","0.3","0.3","0.2","0.3","0.3","0.3","0.4","0.5","0.6","0.5"
"Jamaica","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.3","0.3","0.3"
"Japan","0.4","0.6","0.3","0.4","0.6","0.3","0.5","0.7","0.3","0.5","0.7","0.3","0.4","0.6","0.3"
"Jordan","0.6","0.5","0.8","0.6","0.5","0.8","0.8","0.6","0.9","1.0","0.9","1.2","1.4","1.2","1.6"
"Kazakhstan","2.3","3.3","1.3","2.6","3.7","1.5","3.1","4.6","1.7","5.8","8.9","2.8","16.1","26.0","6.9"
"Kenya","1.8","2.5","1.1","1.8","2.5","1.1","2.2","3.1","1.4","2.9","3.9","1.8","3.8","5.3","2.4"
"Kiribati","2.6","3.1","2.0","2.6","3.1","2.1","2.4","3.0","1.9","2.1","2.8","1.4","2.1","2.9","1.3"
"Kuwait","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Kyrgyzstan","0.6","0.8","0.4","0.7","0.9","0.5","0.8","1.1","0.5","1.1","1.4","0.7","1.5","2.1","1.0"
"Lao People's Democratic Republic","0.9","1.0","0.8","0.9","1.0","0.8","1.1","1.3","0.9","1.5","1.6","1.3","1.7","2.0","1.5"
"Latvia","0.8","1.5","0.3","0.9","1.5","0.3","1.2","2.1","0.4","2.7","4.9","0.9","2.9","5.2","1.0"
"Lebanon","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.3","0.4","0.5","0.3","0.6","0.7","0.5"
"Lesotho","3.1","3.0","3.3","3.2","3.0","3.3","3.2","3.0","3.3","3.0","2.9","3.0","2.7","2.6","2.8"
"Liberia","1.8","2.5","1.1","1.8","2.5","1.1","2.2","3.1","1.3","2.3","3.2","1.4","2.4","3.2","1.6"
"Libya","0.6","0.8","0.4","0.5","0.6","0.4","0.7","0.9","0.5","1.0","1.2","0.7","1.2","1.5","0.8"
"Lithuania","0.7","1.2","0.3","0.8","1.3","0.3","1.0","1.7","0.4","1.3","2.2","0.5","2.1","3.6","0.8"
"Luxembourg","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2"
"Madagascar","3.3","4.0","2.6","3.3","4.1","2.6","4.4","5.4","3.4","4.7","5.8","3.7","5.4","6.7","4.2"
"Malawi","2.0","2.5","1.5","2.1","2.6","1.6","2.2","2.8","1.6","3.2","4.1","2.3","3.9","5.1","2.7"
"Malaysia","0.5","0.6","0.3","0.5","0.6","0.3","0.5","0.7","0.4","0.6","0.7","0.4","0.7","0.9","0.6"
"Maldives","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1"
"Mali","3.3","4.2","2.4","3.3","4.3","2.4","3.9","5.0","2.8","3.6","4.7","2.6","4.1","5.4","2.8"
"Malta","0.1","0.2","0.1","0.1","0.2","0.1","0.1","0.2","0.1","0.2","0.2","0.1","0.2","0.3","0.1"
"Mauritania","1.9","2.5","1.2","1.9","2.6","1.3","1.9","2.5","1.3","2.0","2.7","1.3","2.0","2.7","1.3"
"Mauritius","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2"
"Mexico","0.4","0.6","0.3","0.4","0.6","0.3","0.5","0.6","0.3","0.6","0.7","0.4","0.7","1.0","0.5"
"Micronesia (Federated States of)","1.0","1.4","0.6","1.0","1.4","0.6","1.1","1.6","0.7","1.4","1.8","0.9","1.3","1.7","0.9"
"Mongolia","1.6","2.2","1.0","1.6","2.2","1.0","2.0","2.8","1.3","3.1","4.3","1.9","7.8","11.4","4.2"
"Montenegro","0.5","0.6","0.4","0.5","0.7","0.4","0.6","0.7","0.4","0.8","1.0","0.6","1.0","1.2","0.7"
"Morocco","0.6","0.7","0.5","0.6","0.7","0.5","0.7","0.8","0.6","1.1","1.3","0.8","1.6","2.1","1.2"
"Mozambique","2.9","3.5","2.4","3.0","3.6","2.5","3.2","3.8","2.6","3.5","4.3","2.7","4.4","5.5","3.3"
"Myanmar","1.4","0.9","1.9","1.4","0.9","1.9","1.6","1.1","2.1","2.0","1.4","2.5","2.3","1.7","2.9"
